date,m1_yoy,m2_yoy,m1_minus_m2
2008-05-31,17.93,18.07,-0.14000000000000057
2008-06-30,14.19,17.37,-3.1800000000000015
2008-07-31,13.96,16.35,-2.3900000000000006
2008-08-31,11.48,16.0,-4.52
2008-09-30,9.43,15.29,-5.859999999999999
2008-10-31,8.85,15.02,-6.17
2008-11-30,6.8,14.8,-8.0
2008-12-31,9.06,17.82,-8.76
2009-01-31,6.68,18.79,-12.11
2009-02-28,10.87,20.48,-9.610000000000001
2009-03-31,17.04,25.51,-8.470000000000002
2009-04-30,17.48,25.89,-8.41
2009-05-31,18.69,25.74,-7.049999999999997
2009-06-30,24.79,28.46,-3.6700000000000017
2009-07-31,26.37,28.42,-2.0500000000000007
2009-08-31,27.72,28.53,-0.8100000000000023
2009-09-30,29.51,29.31,0.20000000000000284
2009-10-31,32.03,29.42,2.6099999999999994
2009-11-30,34.63,29.74,4.890000000000004
2009-12-31,32.35,27.68,4.670000000000002
2010-01-31,38.96,25.98,12.98
2010-02-28,34.99,25.52,9.470000000000002
2010-03-31,29.94,22.5,7.440000000000001
2010-04-30,31.25,21.48,9.77
2010-05-31,29.9,21.0,8.899999999999999
2010-06-30,24.56,18.46,6.099999999999998
2010-07-31,22.9,17.6,5.299999999999997
2010-08-31,21.9,19.2,2.6999999999999993
2010-09-30,20.87,18.96,1.9100000000000001
2010-10-31,22.1,19.3,2.8000000000000007
2010-11-30,22.1,19.5,2.6000000000000014
2010-12-31,21.19,19.72,1.4700000000000024
2011-01-31,13.6,17.2,-3.5999999999999996
2011-02-28,14.5,15.7,-1.1999999999999993
2011-03-31,15.0,16.6,-1.6000000000000014
2011-04-30,12.9,15.3,-2.4000000000000004
2011-05-31,12.7,15.1,-2.4000000000000004
2011-06-30,13.1,15.9,-2.8000000000000007
2011-07-31,11.6,14.7,-3.0999999999999996
2011-08-31,11.2,13.5,-2.3000000000000007
2011-09-30,8.9,13.0,-4.1
2011-10-31,8.4,12.9,-4.5
2011-11-30,7.8,12.7,-4.8999999999999995
2011-12-31,7.9,13.6,-5.699999999999999
2012-01-31,3.1,12.4,-9.3
2012-02-29,4.3,13.0,-8.7
2012-03-31,4.4,13.4,-9.0
2012-04-30,3.1,12.8,-9.700000000000001
2012-05-31,3.5,13.2,-9.7
2012-06-30,4.7,13.6,-8.899999999999999
2012-07-31,4.6,13.9,-9.3
2012-08-31,4.5,13.5,-9.0
2012-09-30,7.3,14.8,-7.500000000000001
2012-10-31,6.1,14.1,-8.0
2012-11-30,5.5,13.9,-8.4
2012-12-31,6.5,13.8,-7.300000000000001
2013-01-31,15.3,15.9,-0.5999999999999996
2013-02-28,9.5,15.2,-5.699999999999999
2013-03-31,11.9,15.7,-3.799999999999999
2013-04-30,11.9,16.1,-4.200000000000001
2013-05-31,11.3,15.8,-4.5
2013-06-30,9.1,14.0,-4.9
2013-07-31,9.7,14.5,-4.800000000000001
2013-08-31,9.9,14.7,-4.799999999999999
2013-09-30,8.9,14.2,-5.299999999999999
2013-10-31,8.9,14.3,-5.4
2013-11-30,9.4,14.2,-4.799999999999999
2013-12-31,9.3,13.6,-4.299999999999999
2014-01-31,1.2,13.2,-12.0
2014-02-28,6.9,13.3,-6.4
2014-03-31,5.4,12.1,-6.699999999999999
2014-04-30,5.5,13.2,-7.699999999999999
2014-05-31,5.7,13.4,-7.7
2014-06-30,8.9,14.7,-5.799999999999999
2014-07-31,6.7,13.5,-6.8
2014-08-31,5.7,12.8,-7.1000000000000005
2014-09-30,4.8,12.9,-8.100000000000001
2014-10-31,3.2,12.6,-9.399999999999999
2014-11-30,3.2,12.3,-9.100000000000001
2014-12-31,3.2,12.2,-9.0
2015-01-31,10.6,10.8,-0.20000000000000107
2015-02-28,5.6,12.5,-6.9
2015-03-31,2.9,11.6,-8.7
2015-04-30,3.7,10.1,-6.3999999999999995
2015-05-31,4.7,10.8,-6.1000000000000005
2015-06-30,4.3,11.8,-7.500000000000001
2015-07-31,6.6,13.3,-6.700000000000001
2015-08-31,9.3,13.3,-4.0
2015-09-30,11.4,13.1,-1.6999999999999993
2015-10-31,14.0,13.5,0.5
2015-11-30,15.7,13.7,2.0
2015-12-31,15.2,13.3,1.8999999999999986
2016-01-31,18.6,14.0,4.600000000000001
2016-02-29,17.4,13.3,4.099999999999998
2016-03-31,22.1,13.4,8.700000000000001
2016-04-30,22.9,12.8,10.099999999999998
2016-05-31,23.7,11.8,11.899999999999999
2016-06-30,24.6,11.8,12.8
2016-07-31,25.4,10.2,15.2
2016-08-31,25.3,11.4,13.9
2016-09-30,24.7,11.5,13.2
2016-10-31,23.9,11.6,12.299999999999999
2016-11-30,22.7,11.4,11.299999999999999
2016-12-31,21.4,11.3,10.099999999999998
2017-01-31,14.5,10.7,3.8000000000000007
2017-02-28,21.4,10.4,10.999999999999998
2017-03-31,18.8,10.1,8.700000000000001
2017-04-30,18.5,9.8,8.7
2017-05-31,17.0,9.1,7.9
2017-06-30,15.0,9.1,5.9
2017-07-31,15.3,8.9,6.4
2017-08-31,14.0,8.6,5.4
2017-09-30,14.0,9.0,5.0
2017-10-31,13.0,8.9,4.1
2017-11-30,12.7,9.1,3.5999999999999996
2017-12-31,11.8,8.1,3.700000000000001
2018-01-31,15.0,8.6,6.4
2018-02-28,8.5,8.8,-0.3000000000000007
2018-03-31,7.1,8.2,-1.0999999999999996
2018-04-30,7.2,8.3,-1.1000000000000005
2018-05-31,6.0,8.3,-2.3000000000000007
2018-06-30,6.6,8.0,-1.4000000000000004
2018-07-31,5.1,8.5,-3.4000000000000004
2018-08-31,3.9,8.2,-4.299999999999999
2018-09-30,4.0,8.3,-4.300000000000001
2018-10-31,2.7,8.0,-5.3
2018-11-30,1.5,8.0,-6.5
2018-12-31,1.5,8.1,-6.6
2019-01-31,0.4,8.4,-8.0
2019-02-28,2.0,8.0,-6.0
2019-03-31,4.6,8.6,-4.0
2019-04-30,2.9,8.5,-5.6
2019-05-31,3.4,8.5,-5.1
2019-06-30,4.4,8.5,-4.1
2019-07-31,3.1,8.1,-5.0
2019-08-31,3.4,8.2,-4.799999999999999
2019-09-30,3.4,8.4,-5.0
2019-10-31,3.3,8.4,-5.1000000000000005
2019-11-30,3.5,8.2,-4.699999999999999
2019-12-31,4.4,8.7,-4.299999999999999
2020-01-31,0.0,8.4,-8.4
2020-02-29,4.8,8.8,-4.000000000000001
2020-03-31,5.0,10.1,-5.1
2020-04-30,5.5,11.1,-5.6
2020-05-31,6.8,11.1,-4.3
2020-06-30,6.5,11.1,-4.6
2020-07-31,6.9,10.7,-3.799999999999999
2020-08-31,8.0,10.4,-2.4000000000000004
2020-09-30,8.1,10.9,-2.8000000000000007
2020-10-31,9.1,10.5,-1.4000000000000004
2020-11-30,10.0,10.7,-0.6999999999999993
2020-12-31,8.6,10.1,-1.5
2021-01-31,14.7,9.4,5.299999999999999
2021-02-28,7.4,10.1,-2.6999999999999993
2021-03-31,7.1,9.4,-2.3000000000000007
2021-04-30,6.2,8.1,-1.8999999999999995
2021-05-31,6.1,8.3,-2.200000000000001
2021-06-30,5.5,8.6,-3.0999999999999996
2021-07-31,4.9,8.3,-3.4000000000000004
2021-08-31,4.2,8.2,-3.999999999999999
2021-09-30,3.7,8.3,-4.6000000000000005
2021-10-31,2.8,8.7,-5.8999999999999995
2021-11-30,3.0,8.5,-5.5
2021-12-31,3.5,9.0,-5.5
2022-01-31,-1.9,9.8,-11.700000000000001
2022-02-28,4.7,9.2,-4.499999999999999
2022-03-31,4.7,9.7,-4.999999999999999
2022-04-30,5.1,10.5,-5.4
2022-05-31,4.6,11.1,-6.5
2022-06-30,5.8,11.4,-5.6000000000000005
2022-07-31,6.7,12.0,-5.3
2022-08-31,6.1,12.2,-6.1
2022-09-30,6.4,12.1,-5.699999999999999
2022-10-31,5.8,11.8,-6.000000000000001
2022-11-30,4.6,12.4,-7.800000000000001
2022-12-31,3.7,11.8,-8.100000000000001
2023-01-31,6.7,12.6,-5.8999999999999995
2023-02-28,5.8,12.9,-7.1000000000000005
2023-03-31,5.1,12.7,-7.6
2023-04-30,5.3,12.4,-7.1000000000000005
2023-05-31,4.7,11.6,-6.8999999999999995
2023-06-30,3.1,11.3,-8.200000000000001
2023-07-31,2.3,10.7,-8.399999999999999
2023-08-31,2.2,10.6,-8.399999999999999
2023-09-30,2.1,10.3,-8.200000000000001
2023-10-31,1.9,10.3,-8.4
2023-11-30,1.3,10.0,-8.7
2023-12-31,1.3,9.7,-8.399999999999999
2024-01-31,3.3,8.7,-5.3999999999999995
2024-02-29,2.6,8.7,-6.1
2024-03-31,2.3,8.3,-6.000000000000001
2024-04-30,0.6,7.2,-6.6000000000000005
2024-05-31,-0.8,7.0,-7.8
2024-06-30,-1.7,6.2,-7.9
2024-07-31,-2.6,6.3,-8.9
2024-08-31,-3.0,6.3,-9.3
2024-09-30,-3.3,6.8,-10.1
2024-10-31,-2.3,7.5,-9.8
2024-11-30,-0.7,7.1,-7.8
2024-12-31,1.2,7.3,-6.1
2025-01-31,0.4,7.0,-6.6
2025-02-28,0.1,7.0,-6.9
2025-03-31,1.6,7.0,-5.4
2025-04-30,1.5,8.0,-6.5
2025-05-31,2.3,7.9,-5.6000000000000005
2025-06-30,4.6,8.3,-3.700000000000001
2025-07-31,5.6,8.8,-3.200000000000001
2025-08-31,6.0,8.8,-2.8000000000000007
2025-09-30,7.2,8.4,-1.2000000000000002
2025-10-31,6.2,8.2,-1.9999999999999991
2025-11-30,4.9,8.0,-3.0999999999999996
2025-12-31,3.8,8.5,-4.7
2026-01-31,4.9,9.0,-4.1
2026-02-28,5.9,9.0,-3.0999999999999996
2026-03-31,5.1,8.5,-3.4000000000000004
2026-04-30,5.0,8.6,-3.5999999999999996
2026-05-31,5.5,8.6,-3.0999999999999996
2026-06-30,4.0,8.0,-4.0
